vehicle_type,second_vehicle_type,date,time,road_has_pavement,distance_to_nearest_traffic_light,speed_limit,estimated_speed_of_collision,speed_of_collision_rangeseat_belt_used,injury_sustained,lethal,land_use,city
Bicycle,Bicycle,04/11/18,19:56,0,13,30,27,25 - 30,N/A,1,0,Agricultural,Nairobi
Car,Motorbike,08/12/18,05:26,1,7,70,82,80 - 85,1,1,0,Commercial,Nairobi
Car,Car,26/04/18,18:26,0,34,50,48,45 - 50,1,1,0,Agricultural,Nairobi
Bicycle,Bicycle,23/05/18,19:56,1,10,30,23,20 - 25,N/A,1,0,Residential,Nairobi
Motorbike,Motorbike,07/07/18,09:10,0,16,50,50,50 - 55,N/A,1,0,Agricultural,Kehancha
Pedestrian,Bicycle,05/02/18,13:27,0,15,30,33,30 - 35,N/A,1,0,Industrial,Kikuyu
Car,Motorbike,20/10/18,20:29,0,19,60,49,45 - 50,1,1,0,Agricultural,Nairobi
Bicycle,Bicycle,09/10/18,22:33,1,34,40,31,30 - 35,N/A,1,0,Residential,Nairobi
Motorbike,Car,24/09/18,20:20,0,24,50,56,55 - 60,1,1,1,Agricultural,Nairobi
Pedestrian,Car,11/01/18,20:12,1,21,30,30,30 - 35,1,1,0,Commercial,Nairobi
Motorbike,Car,24/04/18,09:21,1,5,50,50,50 - 55,1,1,0,Commercial,Nairobi
Bicycle,Car,11/05/18,09:10,1,23,20,20,20 - 25,1,1,0,Transport,Nairobi
Bicycle,Pedestrian,15/12/18,10:22,1,9,30,43,40 - 45,N/A,1,0,Commercial,Nairobi
Car,Car,26/08/18,10:21,1,26,40,36,35 - 40,1,1,0,Commercial,Nairobi
Bicycle,Motorbike,12/12/18,08:21,0,21,40,40,40 - 45,N/A,1,0,Residential,Eldoret
Car,Bicycle,23/05/18,18:28,1,24,20,34,30 - 35,0,0,0,Residential,Mombasa
Bicycle,Motorbike,08/01/18,18:44,0,17,50,60,60 - 65,N/A,1,0,Residential,Mombasa
Pedestrian,Car,03/07/18,17:08,1,14,40,48,45 - 50,1,0,0,Commercial,Nairobi
Pedestrian,Car,04/04/18,18:50,1,6,40,46,45 - 50,1,0,0,Commercial,Mombasa
Car,Motorbike,28/11/18,20:49,0,19,40,51,50 - 55,1,1,0,Residential,Kikuyu
Car,Car,08/08/18,02:17,0,15,60,45,45 - 50,1,1,0,Commercial,Nairobi
Motorbike,Car,02/07/18,14:53,0,38,20,31,30 - 35,1,1,0,Agricultural,Nairobi
Car,Motorbike,10/08/18,11:53,0,5,40,45,45 - 50,1,1,0,Residential,Nairobi
Car,Car,13/10/18,09:02,0,1,60,61,60 - 65,1,1,0,Residential,Mombasa
Pedestrian,Bicycle,09/05/18,05:33,1,23,20,17,15 - 20,N/A,1,0,Commercial,Nairobi
Car,Car,04/03/18,02:12,1,44,60,46,45 - 50,1,1,0,Residential,Nairobi
Car,Car,21/11/18,19:02,0,14,50,38,35 - 40,1,1,0,Residential,Nairobi
Motorbike,Motorbike,25/07/18,20:54,0,8,40,32,30 - 35,N/A,1,0,Industrial,Mombasa
Car,Car,10/03/18,19:08,1,23,70,73,70 - 75,0,1,0,Commercial,Nairobi
Car,Car,23/02/18,09:04,0,17,50,62,60 - 65,1,1,0,Residential,Nairobi
Motorbike,Bicycle,10/04/18,20:24,0,13,30,42,40 - 45,N/A,1,1,Residential,Nairobi
Motorbike,Pedestrian,12/06/18,09:42,0,25,40,42,40 - 45,N/A,1,1,Industrial,Nairobi
Car,Car,03/04/18,01:31,1,5,50,49,45 - 50,0,1,1,Commercial,Nairobi
Car,Car,06/11/18,09:51,0,14,70,75,75 - 80,0,1,1,Agricultural,Nairobi
Motorbike,Motorbike,05/05/18,15:53,1,27,20,14,10 - 15,N/A,1,0,Commercial,Kisumu
Car,Car,22/06/18,17:26,0,14,50,58,55 - 60,0,1,0,Residential,Nairobi
Bicycle,Bicycle,02/06/18,17:40,0,28,30,30,30 - 35,N/A,0,0,Commercial,Nairobi
Motorbike,Car,10/07/18,00:36,1,32,60,59,55 - 60,1,1,0,Industrial,Kisumu
Car,Car,16/11/18,15:12,0,1,60,62,60 - 65,1,1,0,Agricultural,Nairobi
Pedestrian,Motorbike,12/06/18,20:42,1,8,40,52,50 - 55,N/A,1,0,Commercial,Mombasa
Car,Car,12/08/18,18:50,0,15,70,64,60 - 65,1,1,0,Residential,Nakuru
Car,Car,27/08/18,04:54,1,8,60,65,65 - 70,1,1,0,Agricultural,Nairobi
Car,Car,02/08/18,10:26,1,40,40,40,40 - 45,1,1,0,Residential,Nairobi
Motorbike,Bicycle,23/06/18,17:41,1,12,30,28,25 - 30,N/A,1,0,Transport,Nairobi
Motorbike,Bicycle,08/05/18,18:11,0,9,20,18,15 - 20,N/A,1,0,Residential,Nairobi
Pedestrian,Car,16/03/18,18:57,1,13,40,32,30 - 35,1,1,0,Residential,Kisumu
Car,Pedestrian,01/12/18,17:31,0,23,40,46,45 - 50,1,1,0,Agricultural,Eldoret
Car,Car,08/04/18,15:41,0,6,40,38,35 - 40,1,1,0,Industrial,Nairobi
Motorbike,Car,07/09/18,06:48,1,20,50,43,40 - 45,1,1,0,Residential,Nairobi
Bicycle,Car,27/03/18,18:08,0,24,50,46,45 - 50,1,1,0,Agricultural,Nairobi
Car,Bicycle,04/10/18,19:52,1,14,30,28,25 - 30,0,1,0,Commercial,Mombasa
Pedestrian,Motorbike,16/09/18,20:31,0,30,40,36,35 - 40,N/A,1,0,Agricultural,Nairobi
Car,Motorbike,04/05/18,21:28,0,7,50,45,45 - 50,1,1,0,Transport,Nairobi
Pedestrian,Car,07/07/18,01:45,0,3,30,30,30 - 35,1,1,0,Residential,Nakuru
Motorbike,Car,05/01/18,19:50,0,18,30,39,35 - 40,1,1,0,Residential,Mombasa
Car,Car,09/09/18,08:16,0,18,40,45,45 - 50,0,1,1,Residential,Mombasa
Motorbike,Pedestrian,15/05/18,10:41,0,16,40,32,30 - 35,N/A,1,0,Agricultural,Nairobi
Car,Car,14/02/18,20:51,0,28,60,47,45 - 50,1,1,0,Agricultural,Nairobi
Car,Car,18/02/18,19:18,0,10,60,71,70 - 75,1,1,1,Residential,Nairobi
Bicycle,Pedestrian,26/04/18,13:32,0,8,30,35,35 - 40,N/A,1,0,Agricultural,Nairobi
Pedestrian,Pedestrian,02/05/18,20:34,0,23,20,28,25 - 30,N/A,0,0,Residential,Nairobi
Car,Car,25/01/18,18:12,0,28,60,61,60 - 65,0,1,0,Residential,Mombasa
Car,Car,26/03/18,18:21,0,9,70,64,60 - 65,1,1,0,Agricultural,Nairobi
Motorbike,Car,20/07/18,15:10,1,20,70,60,60 - 65,1,1,0,Residential,Mombasa
Car,Car,25/11/18,16:16,1,9,50,57,55 - 60,1,1,1,Residential,Nairobi
Pedestrian,Pedestrian,02/07/18,22:14,0,7,20,33,30 - 35,N/A,0,0,Industrial,Nairobi
Bicycle,Bicycle,25/09/18,19:42,0,2,30,39,35 - 40,N/A,1,0,Residential,Nakuru
Motorbike,Motorbike,27/12/18,20:00,0,18,20,20,20 - 25,N/A,1,0,Industrial,Mombasa
Bicycle,Motorbike,19/12/18,07:53,0,12,30,28,25 - 30,N/A,1,1,Agricultural,Nairobi
Pedestrian,Car,11/09/18,08:23,1,22,30,34,30 - 35,0,1,0,Commercial,Kehancha
Pedestrian,Bicycle,07/06/18,16:30,0,27,30,27,25 - 30,N/A,1,0,Agricultural,Mombasa
Car,Car,16/03/18,18:03,1,26,30,35,35 - 40,1,0,0,Commercial,Nairobi
Car,Car,05/10/18,21:01,0,0,60,70,70 - 75,1,1,0,Residential,Nairobi
Motorbike,Car,21/08/18,17:34,0,5,40,49,45 - 50,0,1,0,Agricultural,Mombasa
Motorbike,Pedestrian,24/11/18,20:22,0,5,40,32,30 - 35,N/A,1,0,Commercial,Nairobi
Car,Car,12/06/18,21:42,1,13,60,67,65 - 70,1,1,0,Residential,Nairobi
Car,Car,26/12/18,08:52,0,24,50,61,60 - 65,1,1,0,Agricultural,Nairobi
Pedestrian,Car,21/03/18,17:51,0,11,30,31,30 - 35,1,0,0,Agricultural,Nairobi
Car,Bicycle,07/02/18,09:59,0,11,40,44,40 - 45,0,1,0,Agricultural,Kehancha
Car,Bicycle,16/08/18,22:25,0,18,50,59,55 - 60,1,1,1,Residential,Nairobi
Car,Bicycle,25/07/18,18:20,0,13,30,35,35 - 40,1,0,0,Agricultural,Mombasa
Bicycle,Pedestrian,08/01/18,17:29,0,14,20,18,15 - 20,N/A,0,0,Residential,Nairobi
Car,Car,04/09/18,10:04,1,4,60,47,45 - 50,0,1,0,Commercial,Nairobi
Car,Car,16/12/18,23:07,0,27,50,61,60 - 65,1,1,1,Agricultural,Mombasa
Pedestrian,Motorbike,27/11/18,20:51,0,27,30,35,35 - 40,N/A,1,0,Agricultural,Nairobi
Motorbike,Bicycle,25/02/18,17:15,1,9,20,29,25 - 30,N/A,0,0,Residential,Nakuru
Car,Car,10/04/18,16:12,0,9,40,31,30 - 35,1,1,0,Residential,Mombasa
Car,Pedestrian,23/03/18,20:32,0,3,30,42,40 - 45,0,1,0,Industrial,Kikuyu
Motorbike,Pedestrian,02/07/18,23:39,1,29,20,33,30 - 35,N/A,1,0,Commercial,Nakuru
Motorbike,Car,14/07/18,18:41,1,4,70,68,65 - 70,1,1,1,Residential,Nairobi
Car,Pedestrian,03/05/18,16:35,0,22,20,16,15 - 20,1,1,0,Residential,Nairobi
Bicycle,Motorbike,19/10/18,17:08,0,18,30,18,15 - 20,N/A,1,0,Agricultural,Nairobi
Motorbike,Pedestrian,25/03/18,09:36,0,11,40,43,40 - 45,N/A,1,0,Residential,Nairobi
Pedestrian,Car,01/05/18,12:52,1,6,30,33,30 - 35,1,0,0,Residential,Nairobi
Pedestrian,Car,28/09/18,05:22,0,6,40,44,40 - 45,1,1,0,Residential,Kehancha
Car,Motorbike,11/03/18,10:41,1,4,30,25,25 - 30,0,1,1,Residential,Mombasa
Pedestrian,Motorbike,01/03/18,04:38,0,20,30,35,35 - 40,N/A,1,0,Agricultural,Nairobi
Car,Car,27/12/18,00:36,0,20,60,57,55 - 60,1,1,1,Agricultural,Nairobi
Motorbike,Pedestrian,10/11/18,08:55,0,21,20,12,10 - 15,N/A,1,0,Transport,Nairobi
Bicycle,Pedestrian,12/05/18,20:22,0,2,20,29,25 - 30,N/A,0,0,Transport,Nairobi
Pedestrian,Bicycle,23/08/18,18:19,1,11,20,28,25 - 30,N/A,0,0,Residential,Nairobi
Car,Pedestrian,17/03/18,05:26,0,24,50,51,50 - 55,1,1,0,Agricultural,Nairobi
Pedestrian,Car,24/04/18,18:40,0,9,40,44,40 - 45,0,1,0,Industrial,Mombasa
Bicycle,Pedestrian,27/02/18,08:40,0,13,40,40,40 - 45,N/A,1,0,Residential,Nairobi
Pedestrian,Bicycle,22/09/18,19:19,1,10,30,29,25 - 30,N/A,1,0,Residential,Mombasa
Car,Bicycle,09/12/18,16:43,0,3,40,39,35 - 40,1,0,0,Agricultural,Nairobi
Motorbike,Car,06/04/18,08:07,0,3,60,51,50 - 55,1,1,1,Residential,Nairobi
Bicycle,Car,23/11/18,21:04,1,9,30,40,40 - 45,1,1,0,Commercial,Mombasa
Motorbike,Car,07/05/18,18:04,0,16,50,41,40 - 45,1,1,0,Residential,Nairobi
Bicycle,Car,15/05/18,14:22,1,22,30,19,15 - 20,1,0,0,Commercial,Mombasa
Pedestrian,Motorbike,12/04/18,08:31,1,29,20,24,20 - 25,N/A,1,0,Residential,Mombasa
Bicycle,Bicycle,15/04/18,18:47,0,30,30,36,35 - 40,N/A,0,0,Commercial,Nairobi
Pedestrian,Pedestrian,10/01/18,02:21,0,32,30,35,35 - 40,N/A,0,0,Industrial,Mombasa
Car,Car,02/07/18,07:06,0,15,50,56,55 - 60,0,1,1,Residential,Nakuru
Car,Car,14/02/18,19:53,0,24,60,57,55 - 60,0,1,1,Commercial,Nakuru
Car,Motorbike,03/06/18,07:20,1,20,40,39,35 - 40,1,1,0,Residential,Nairobi
Bicycle,Bicycle,24/10/18,20:52,0,27,30,30,30 - 35,N/A,1,0,Industrial,Eldoret
Car,Car,25/09/18,18:42,0,10,50,56,55 - 60,1,1,1,Agricultural,Nairobi
Bicycle,Pedestrian,01/01/18,18:57,0,31,30,27,25 - 30,N/A,0,0,Residential,Kehancha
Pedestrian,Car,22/12/18,19:44,0,25,20,19,15 - 20,1,1,0,Residential,Nairobi
Motorbike,Motorbike,04/04/18,10:54,1,24,40,41,40 - 45,N/A,1,0,Commercial,Nairobi
Car,Car,07/03/18,17:38,0,32,60,66,65 - 70,1,1,0,Residential,Nairobi
Car,Car,09/09/18,02:09,0,21,60,59,55 - 60,0,1,0,Residential,Nairobi
Car,Car,28/09/18,20:42,0,12,70,67,65 - 70,1,1,0,Agricultural,Kehancha
Pedestrian,Pedestrian,12/05/18,08:36,1,5,30,23,20 - 25,N/A,0,0,Commercial,Nairobi
Car,Motorbike,27/07/18,20:02,0,4,60,61,60 - 65,0,1,1,Residential,Eldoret
Pedestrian,Pedestrian,25/12/18,18:10,0,15,20,20,20 - 25,N/A,0,0,Transport,Mombasa
Car,Car,09/04/18,06:40,0,42,50,55,55 - 60,0,1,1,Transport,Mombasa
Pedestrian,Bicycle,01/10/18,12:47,1,26,30,22,20 - 25,N/A,1,0,Residential,Mombasa
Bicycle,Pedestrian,13/09/18,10:53,1,6,30,19,15 - 20,N/A,1,0,Transport,Nairobi
Car,Motorbike,06/11/18,19:10,0,5,40,39,35 - 40,1,1,1,Transport,Kikuyu
Car,Pedestrian,26/05/18,17:25,0,7,40,44,40 - 45,1,1,0,Transport,Nairobi
Car,Car,26/06/18,04:10,0,32,50,50,50 - 55,0,1,0,Residential,Eldoret
Bicycle,Bicycle,24/01/18,17:54,1,2,30,30,30 - 35,N/A,0,0,Residential,Nairobi
Pedestrian,Bicycle,12/04/18,09:55,0,10,30,43,40 - 45,N/A,1,0,Agricultural,Nakuru
Car,Motorbike,23/01/18,18:48,0,12,50,51,50 - 55,1,1,0,Industrial,Nairobi
Car,Motorbike,28/05/18,19:30,0,17,50,62,60 - 65,0,1,1,Commercial,Eldoret
Bicycle,Car,26/10/18,18:21,1,24,20,20,20 - 25,1,0,0,Residential,Mombasa
Motorbike,Pedestrian,08/02/18,09:27,0,17,20,6,5 - 10,N/A,1,0,Agricultural,Nairobi
Car,Car,18/03/18,01:55,0,11,40,31,30 - 35,1,1,0,Agricultural,Mombasa
Pedestrian,Car,21/10/18,20:18,1,13,40,41,40 - 45,1,1,0,Commercial,Nairobi
Bicycle,Car,20/07/18,19:30,0,18,40,30,30 - 35,1,1,1,Agricultural,Nairobi
Pedestrian,Pedestrian,09/04/18,19:03,0,10,30,18,15 - 20,N/A,1,0,Residential,Nairobi
Pedestrian,Bicycle,22/09/18,06:57,0,16,20,28,25 - 30,N/A,0,0,Commercial,Nakuru
Pedestrian,Bicycle,24/04/18,18:39,0,2,30,28,25 - 30,N/A,0,0,Agricultural,Nairobi
Bicycle,Car,13/04/18,20:59,1,10,30,28,25 - 30,1,1,0,Transport,Nairobi
Car,Car,05/01/18,10:50,0,21,50,49,45 - 50,1,1,0,Residential,Nairobi
Pedestrian,Pedestrian,25/10/18,12:26,0,7,30,23,20 - 25,N/A,0,0,Agricultural,Nairobi
Car,Car,24/01/18,20:58,1,28,70,71,70 - 75,1,1,0,Commercial,Nakuru
Car,Car,01/09/18,08:56,0,23,60,56,55 - 60,0,1,1,Residential,Mombasa
Car,Bicycle,25/03/18,10:05,0,4,20,17,15 - 20,1,1,0,Residential,Mombasa
Car,Bicycle,08/05/18,10:39,0,11,20,21,20 - 25,1,1,0,Transport,Kisumu
Car,Bicycle,26/07/18,18:18,0,14,40,33,30 - 35,1,1,0,Residential,Eldoret
Bicycle,Motorbike,20/04/18,10:20,1,23,50,50,50 - 55,N/A,1,1,Industrial,Mombasa
Car,Car,06/10/18,20:20,0,8,70,77,75 - 80,1,1,0,Agricultural,Nairobi
Car,Motorbike,17/06/18,08:56,0,8,60,71,70 - 75,1,1,1,Residential,Nairobi
Pedestrian,Car,01/10/18,22:43,0,29,40,55,55 - 60,0,1,0,Commercial,Kisumu
Car,Car,13/11/18,18:42,0,3,50,60,60 - 65,1,0,0,Agricultural,Nairobi
Pedestrian,Bicycle,23/02/18,02:00,0,17,30,30,30 - 35,N/A,1,0,Agricultural,Nairobi
Bicycle,Car,22/06/18,17:16,0,15,30,30,30 - 35,0,1,0,Residential,Mombasa
Bicycle,Bicycle,26/09/18,20:30,1,11,30,23,20 - 25,N/A,1,0,Residential,Nairobi
Car,Pedestrian,10/01/18,09:29,1,8,30,40,40 - 45,0,1,0,Commercial,Kikuyu
Car,Car,13/02/18,20:23,1,30,50,49,45 - 50,1,1,0,Residential,Nairobi
Bicycle,Pedestrian,23/08/18,20:57,0,18,20,32,30 - 35,N/A,1,0,Residential,Nairobi
Motorbike,Car,09/03/18,20:24,0,11,50,63,60 - 65,1,1,0,Residential,Mombasa
Bicycle,Car,21/03/18,10:21,0,33,40,54,50 - 55,1,1,0,Agricultural,Mombasa
Motorbike,Bicycle,19/05/18,10:10,0,24,30,30,30 - 35,N/A,1,0,Residential,Nairobi
Motorbike,Pedestrian,12/12/18,19:43,0,11,20,14,10 - 15,N/A,1,0,Residential,Mombasa
Car,Motorbike,25/11/18,17:03,0,19,60,61,60 - 65,1,1,0,Agricultural,Nairobi
Motorbike,Pedestrian,13/05/18,19:03,0,18,40,36,35 - 40,N/A,1,0,Residential,Mombasa
Car,Car,09/02/18,01:34,0,7,50,43,40 - 45,1,1,0,Transport,Nairobi
Motorbike,Motorbike,14/02/18,20:00,0,32,40,45,45 - 50,N/A,1,0,Transport,Kisumu
Car,Car,13/03/18,09:26,0,20,50,63,60 - 65,1,1,0,Agricultural,Nairobi
Pedestrian,Car,01/01/18,09:03,0,13,30,20,20 - 25,1,1,0,Agricultural,Nairobi
Car,Pedestrian,27/05/18,18:57,0,18,40,33,30 - 35,1,0,0,Agricultural,Nairobi
Pedestrian,Pedestrian,13/02/18,20:05,1,38,30,29,25 - 30,N/A,0,0,Residential,Nairobi
Car,Car,28/07/18,09:49,0,10,60,61,60 - 65,1,1,1,Residential,Nairobi
Car,Car,18/10/18,17:06,0,3,60,66,65 - 70,1,1,0,Commercial,Mombasa
Bicycle,Motorbike,17/02/18,18:21,0,9,20,9,5 - 10,N/A,1,0,Residential,Kisumu
Car,Motorbike,22/02/18,18:43,1,0,70,57,55 - 60,1,1,0,Residential,Nairobi
Motorbike,Motorbike,25/04/18,20:21,0,24,40,27,25 - 30,N/A,1,0,Residential,Mombasa
Pedestrian,Car,09/12/18,10:09,1,13,20,22,20 - 25,1,1,0,Residential,Mombasa
Pedestrian,Car,01/11/18,20:40,0,18,40,39,35 - 40,1,1,0,Commercial,Nairobi
Pedestrian,Car,11/01/18,08:55,0,19,40,42,40 - 45,1,1,0,Transport,Nairobi
Motorbike,Pedestrian,20/03/18,10:29,0,7,30,20,20 - 25,N/A,1,0,Agricultural,Nairobi
Car,Car,02/10/18,23:26,0,15,60,57,55 - 60,1,1,0,Agricultural,Nairobi
Pedestrian,Motorbike,08/11/18,19:04,0,4,20,14,10 - 15,N/A,1,1,Residential,Eldoret
Car,Motorbike,01/02/18,10:53,0,9,70,78,75 - 80,0,1,1,Agricultural,Nairobi
Car,Pedestrian,28/10/18,18:52,1,15,50,52,50 - 55,1,0,0,Residential,Nairobi
Pedestrian,Bicycle,28/01/18,06:51,1,14,20,24,20 - 25,N/A,1,0,Commercial,Nakuru
Car,Car,28/10/18,15:06,0,13,50,57,55 - 60,1,1,0,Agricultural,Nairobi
Car,Bicycle,11/08/18,20:20,0,7,30,26,25 - 30,1,1,0,Residential,Nairobi
Bicycle,Pedestrian,06/07/18,18:05,1,12,20,28,25 - 30,N/A,1,0,Agricultural,Nairobi
Bicycle,Bicycle,28/10/18,18:21,0,2,30,26,25 - 30,N/A,0,0,Agricultural,Nairobi
Car,Car,11/07/18,20:05,1,15,50,55,55 - 60,0,1,0,Transport,Mombasa
Pedestrian,Motorbike,24/08/18,05:45,1,20,40,35,35 - 40,N/A,1,0,Residential,Nairobi
Motorbike,Motorbike,18/08/18,09:55,0,29,40,43,40 - 45,N/A,1,1,Transport,Nairobi
Bicycle,Pedestrian,03/06/18,10:02,0,25,30,23,20 - 25,N/A,1,0,Residential,Nairobi
Car,Car,07/09/18,19:00,0,25,60,64,60 - 65,1,1,1,Agricultural,Nairobi
Car,Bicycle,25/06/18,08:35,0,10,30,37,35 - 40,1,1,0,Agricultural,Nairobi
Car,Car,17/08/18,06:34,0,10,60,62,60 - 65,1,1,1,Residential,Nairobi
Motorbike,Car,13/06/18,17:38,0,17,70,70,70 - 75,1,1,1,Commercial,Nairobi
Motorbike,Motorbike,08/01/18,08:07,0,25,20,15,15 - 20,N/A,1,0,Residential,Nairobi
Car,Car,15/10/18,10:10,0,24,60,46,45 - 50,1,1,0,Residential,Nakuru
Car,Car,06/04/18,18:12,0,24,50,47,45 - 50,0,1,0,Residential,Nakuru
Car,Car,26/06/18,02:37,0,21,60,64,60 - 65,1,1,1,Residential,Kisumu
Motorbike,Pedestrian,17/07/18,18:05,1,26,20,19,15 - 20,N/A,1,0,Residential,Mombasa
Car,Car,04/05/18,07:20,0,7,50,59,55 - 60,0,1,1,Residential,Nairobi
Pedestrian,Pedestrian,22/04/18,18:32,0,3,20,31,30 - 35,N/A,0,0,Residential,Kikuyu
Bicycle,Bicycle,07/10/18,17:02,1,10,20,24,20 - 25,N/A,0,0,Residential,Mombasa
Motorbike,Car,25/05/18,19:00,0,15,30,34,30 - 35,1,1,0,Agricultural,Nairobi
Car,Car,25/09/18,20:24,1,2,60,53,50 - 55,1,0,0,Commercial,Mombasa
Motorbike,Car,07/06/18,18:44,0,7,60,65,65 - 70,0,1,0,Industrial,Nairobi
Pedestrian,Pedestrian,16/01/18,20:56,0,32,20,14,10 - 15,N/A,0,0,Agricultural,Eldoret
Bicycle,Motorbike,22/12/18,09:16,0,9,30,34,30 - 35,N/A,1,0,Agricultural,Nairobi
Motorbike,Bicycle,23/05/18,19:41,0,24,20,19,15 - 20,N/A,1,0,Residential,Nairobi
Motorbike,Bicycle,24/12/18,16:59,1,25,40,31,30 - 35,N/A,1,0,Residential,Eldoret
Bicycle,Bicycle,04/09/18,17:42,1,22,30,30,30 - 35,N/A,0,0,Commercial,Eldoret
Car,Car,15/06/18,20:49,0,26,50,46,45 - 50,1,1,0,Agricultural,Mombasa
Car,Motorbike,22/11/18,04:14,0,19,50,40,40 - 45,1,1,0,Residential,Kikuyu
Motorbike,Pedestrian,12/08/18,20:09,0,31,30,37,35 - 40,N/A,1,0,Agricultural,Nairobi
Car,Car,10/02/18,19:22,0,15,40,38,35 - 40,1,1,0,Agricultural,Nairobi
Car,Car,24/04/18,18:24,0,16,50,44,40 - 45,1,1,0,Residential,Mombasa
Bicycle,Pedestrian,15/10/18,20:49,0,12,30,31,30 - 35,N/A,1,0,Residential,Eldoret
Pedestrian,Bicycle,02/06/18,19:35,0,41,30,31,30 - 35,N/A,1,0,Residential,Mombasa
Motorbike,Pedestrian,04/09/18,08:23,1,16,30,40,40 - 45,N/A,1,0,Industrial,Nairobi
Bicycle,Motorbike,10/09/18,18:27,0,14,40,45,45 - 50,N/A,1,0,Agricultural,Eldoret
Bicycle,Pedestrian,01/06/18,10:02,0,46,20,12,10 - 15,N/A,1,0,Agricultural,Nairobi
Bicycle,Car,11/12/18,02:44,0,21,30,37,35 - 40,1,1,0,Industrial,Kikuyu
Motorbike,Car,16/05/18,10:30,0,19,40,30,30 - 35,1,1,0,Residential,Nairobi
Pedestrian,Car,07/12/18,08:32,0,36,30,19,15 - 20,1,1,0,Agricultural,Nairobi
Car,Car,25/07/18,20:51,0,11,40,31,30 - 35,1,1,0,Agricultural,Nairobi
Motorbike,Pedestrian,12/03/18,17:22,0,15,20,29,25 - 30,N/A,1,0,Residential,Nairobi
Car,Pedestrian,07/04/18,04:44,0,25,40,50,50 - 55,1,1,0,Commercial,Nairobi
Motorbike,Car,26/09/18,19:33,0,19,40,36,35 - 40,1,1,1,Industrial,Mombasa
Bicycle,Pedestrian,26/10/18,20:24,1,23,20,25,25 - 30,N/A,1,0,Commercial,Nairobi
Car,Car,12/07/18,05:47,1,20,40,37,35 - 40,1,1,0,Residential,Nairobi
Pedestrian,Pedestrian,10/01/18,02:37,0,25,40,40,40 - 45,N/A,0,0,Agricultural,Mombasa
Motorbike,Motorbike,24/08/18,00:20,1,13,20,28,25 - 30,N/A,1,0,Residential,Nairobi
Motorbike,Car,03/01/18,20:15,0,12,70,83,80 - 85,1,1,1,Agricultural,Nairobi
Car,Bicycle,11/08/18,17:21,0,28,40,43,40 - 45,1,1,0,Residential,Mombasa
Pedestrian,Bicycle,13/08/18,18:26,1,19,20,13,10 - 15,N/A,0,0,Residential,Nairobi
Motorbike,Bicycle,14/07/18,09:48,0,34,20,11,10 - 15,N/A,1,0,Residential,Nairobi
Pedestrian,Bicycle,25/07/18,20:10,1,10,20,28,25 - 30,N/A,1,0,Residential,Mombasa
Motorbike,Motorbike,07/11/18,09:26,1,7,40,30,30 - 35,N/A,1,0,Residential,Eldoret
Motorbike,Pedestrian,22/10/18,09:39,0,10,40,46,45 - 50,N/A,1,1,Residential,Nairobi
Motorbike,Car,27/07/18,18:36,0,22,40,38,35 - 40,0,1,0,Agricultural,Kehancha
Car,Car,26/08/18,11:15,1,14,60,45,45 - 50,1,1,0,Residential,Nairobi
Bicycle,Bicycle,11/07/18,19:09,0,13,20,12,10 - 15,N/A,1,0,Residential,Nairobi
Bicycle,Bicycle,05/10/18,18:16,1,15,30,30,30 - 35,N/A,0,0,Residential,Nairobi
Car,Car,22/08/18,19:36,0,0,50,45,45 - 50,1,1,0,Agricultural,Nairobi
Motorbike,Car,16/09/18,23:49,1,17,50,50,50 - 55,1,1,0,Commercial,Nakuru
Car,Car,10/09/18,01:18,1,29,20,14,10 - 15,1,1,0,Commercial,Eldoret
Motorbike,Car,19/08/18,21:24,0,22,50,53,50 - 55,1,1,1,Agricultural,Nairobi
Motorbike,Bicycle,16/03/18,07:44,1,12,30,23,20 - 25,N/A,1,0,Residential,Nairobi
Car,Car,18/06/18,22:30,0,23,60,67,65 - 70,1,1,0,Residential,Nairobi
Pedestrian,Pedestrian,16/12/18,18:53,0,8,20,20,20 - 25,N/A,0,0,Industrial,Mombasa
Car,Car,23/10/18,17:39,1,15,40,49,45 - 50,1,1,0,Residential,Mombasa
Car,Motorbike,05/12/18,18:17,0,8,60,64,60 - 65,1,1,0,Residential,Nairobi
Car,Motorbike,16/07/18,17:13,0,10,50,61,60 - 65,1,1,0,Residential,Mombasa
Car,Car,07/07/18,19:55,0,9,60,64,60 - 65,1,1,1,Agricultural,Nairobi
Car,Car,13/05/18,19:30,1,9,40,46,45 - 50,0,1,0,Residential,Kikuyu
Car,Car,14/05/18,20:56,0,21,50,49,45 - 50,1,1,0,Residential,Kisumu
Car,Car,21/10/18,18:10,1,25,50,48,45 - 50,1,1,0,Residential,Nairobi
Car,Car,07/12/18,04:11,1,18,60,65,65 - 70,1,1,0,Residential,Mombasa
Car,Bicycle,15/10/18,20:16,0,1,50,46,45 - 50,1,1,0,Residential,Kisumu
Pedestrian,Bicycle,06/12/18,20:51,0,7,50,61,60 - 65,N/A,1,0,Residential,Nairobi
Pedestrian,Pedestrian,15/02/18,09:25,0,25,30,44,40 - 45,N/A,1,0,Residential,Mombasa
Pedestrian,Pedestrian,22/02/18,00:32,1,24,30,34,30 - 35,N/A,1,0,Commercial,Nakuru
Car,Car,24/12/18,18:43,0,38,50,48,45 - 50,1,1,0,Agricultural,Nairobi
